,,,,,,,,
,Reporting Date,NSE S&P CNX NIFTY,BSE BANKEX,REPO RATE (OVERNIGHT),REVERSE REPO RATE (OVERNIGHT),DAILY CALL MONEY RATE -HIGH,DAILY CALL MONEY RATE - LOW,RBI'S REFERENCE RATE: INR PER USD
,,Index,Index,Per cent,Per cent,Per cent,Per cent,Rupees
,13-Sep-2022,18070.05,46771.72,5.4,3.35,5.35,3.8,79.064
,12-Sep-2022,17936.35,46468.97,5.4,3.35,5.3,3.8,79.6776
,11-Sep-2022,wh,wh,wh,wh,wh,wh,wh
,10-Sep-2022,,,5.4,3.35,,,
,09-Sep-2022,17833.35,46288.97,5.4,3.35,5.4,3.8,79.6358
,08-Sep-2022,17798.75,46056.37,5.4,3.35,5.3,3.8,79.6712
,07-Sep-2022,17624.4,45181.05,5.4,3.35,5.25,3.8,79.922
,06-Sep-2022,17655.6,45413.92,5.4,3.35,5.35,3.8,79.8893
,05-Sep-2022,17665.8,45601.36,5.4,3.35,5.3,3.8,79.8936
,04-Sep-2022,wh,wh,wh,wh,wh,wh,wh
,03-Sep-2022,,,5.4,3.35,5.3,4,
,02-Sep-2022,17539.45,45197.14,5.4,3.35,5.15,4,79.7888
,01-Sep-2022,17542.8,45017.56,5.4,3.35,5.65,3.8,79.397
,31-Aug-2022,,,5.4,3.35,0,0,
,30-Aug-2022,17759.3,45295.67,5.4,3.35,5.7,3.8,79.7194
,29-Aug-2022,17312.9,43836.83,5.4,3.35,5.45,3.8,80.0906
,28-Aug-2022,wh,wh,wh,wh,wh,wh,wh
,27-Aug-2022,,,5.4,3.35,,,
,26-Aug-2022,17558.9,44674.39,5.4,3.35,5.45,3.8,79.9097
,25-Aug-2022,17522.45,44558.34,5.4,3.35,5.4,3.8,79.8705
,24-Aug-2022,17604.95,44679.22,5.4,3.35,5.3,3.8,79.7927
,23-Aug-2022,17577.5,44382.06,5.4,3.35,5.35,3.8,79.8903
,22-Aug-2022,17490.7,43899.5,5.4,3.35,5.35,3.8,79.8703
,21-Aug-2022,wh,wh,wh,wh,wh,wh,wh
,20-Aug-2022,,,5.4,3.35,5.1,4.1,
,19-Aug-2022,17758.45,44738.35,5.4,3.35,5.1,4.1,79.7528
,18-Aug-2022,17956.5,45468.16,5.4,3.35,5.3,3.5,79.6667
,17-Aug-2022,17944.25,45163.26,5.4,3.35,5.3,3.5,79.4335
,16-Aug-2022,17825.25,44963.33,5.4,3.35,0,0,
,15-Aug-2022,,,5.4,3.35,,,
,14-Aug-2022,wh,wh,wh,wh,wh,wh,wh
,13-Aug-2022,,,5.4,3.35,,,
,12-Aug-2022,17698.15,44758.13,5.4,3.35,5.5,3.5,79.7011
,11-Aug-2022,17659,44575.93,5.4,3.35,5.25,3.25,79.4881
,10-Aug-2022,17534.75,43855.51,5.4,3.35,5.3,3.5,79.5033
,09-Aug-2022,,,5.4,3.35,0,0,
,08-Aug-2022,17525.1,43852.04,5.4,3.35,5.3,3.5,79.5785
,07-Aug-2022,wh,wh,wh,wh,wh,wh,wh
,06-Aug-2022,,,5.4,3.35,5.4,4,
,05-Aug-2022,17397.5,43550.81,5.4,3.35,4.8,3.8,79.1158
,04-Aug-2022,17382,43346.93,5.4,3.35,4.8,3.25,79.5427
,03-Aug-2022,17388.15,43658.85,5.4,3.35,4.85,3.25,78.8427
,02-Aug-2022,17345.45,43716.7,5.4,3.35,4.85,3.25,78.6082
,01-Aug-2022,17340.05,43573.78,5.4,3.35,4.95,3.35,79.169
,31-Jul-2022,wh,wh,wh,wh,wh,wh,wh
,30-Jul-2022,,,5.4,3.35,4.51,3.8,
,29-Jul-2022,17158.25,43130.69,4.9,3.35,5.1,3.8,79.4203
,28-Jul-2022,16929.6,43058.71,4.9,3.35,5.4,3.3,79.7434
,27-Jul-2022,16641.8,42329.35,4.9,3.35,5.45,3.3,79.8967
,26-Jul-2022,16483.85,41882.21,4.9,3.35,5.5,3.3,79.7948
,25-Jul-2022,16631,42337.54,4.9,3.35,5.4,3.3,79.8488
,24-Jul-2022,wh,wh,wh,wh,wh,wh,wh
,23-Jul-2022,,,4.9,3.35,,,
,22-Jul-2022,16719.45,42405.3,4.9,3.35,5.3,3.3,79.9101
,21-Jul-2022,16605.25,41784.42,4.9,3.35,5.25,3.3,79.9763
,20-Jul-2022,16520.85,41572.3,4.9,3.35,4.9,3.3,79.9738
,19-Jul-2022,16340.55,41297.37,4.9,3.35,4.92,2.5,79.9478
,18-Jul-2022,16278.5,40907.13,4.9,3.35,4.9,2.5,79.8958
,17-Jul-2022,wh,wh,wh,wh,wh,wh,wh
,16-Jul-2022,,,4.9,3.35,4.95,3.8,
,15-Jul-2022,16049.2,40074.01,4.9,3.35,5.05,3.8,79.8797
,14-Jul-2022,15938.65,40008.35,4.9,3.35,4.85,3.3,79.871
,13-Jul-2022,15966.65,40180.37,4.9,3.35,4.85,3.3,79.6592
,12-Jul-2022,16058.3,40407.26,4.9,3.35,4.9,3.3,79.6401
,11-Jul-2022,16216,40792.25,4.9,3.35,4.9,3.3,79.4098
,10-Jul-2022,wh,wh,wh,wh,wh,wh,wh
,09-Jul-2022,,,4.9,3.35,,,
,08-Jul-2022,16220.6,40445.58,4.9,3.35,4.85,3.3,79.2499
,07-Jul-2022,16132.9,40180.78,4.9,3.35,4.85,3.3,79.0235
,06-Jul-2022,15989.8,39513.68,4.9,3.35,4.85,3,79.332
,05-Jul-2022,15810.85,38896.73,4.9,3.35,4.9,3.3,79.079
,04-Jul-2022,15835.35,39041.85,4.9,3.35,4.95,3,78.9866
,03-Jul-2022,wh,wh,wh,wh,wh,wh,wh
,02-Jul-2022,,,4.9,3.35,4.9,3.7,
,01-Jul-2022,15752.05,38626.25,4.9,3.35,5,3.8,79.094
,30-Jun-2022,15780.25,38475.94,4.9,3.35,5.1,3.25,78.9421
,29-Jun-2022,15799.1,38239.26,4.9,3.35,4.95,3.3,78.9376
,28-Jun-2022,15850.2,38704.48,4.9,3.35,4.95,2.5,78.6966
,27-Jun-2022,15832.05,38884.42,4.9,3.35,5,2.5,78.289
,26-Jun-2022,wh,wh,wh,wh,wh,wh,wh
,25-Jun-2022,,,4.9,3.35,,,
,24-Jun-2022,15699.25,38701.99,4.9,3.35,4.9,3.3,78.3308
,23-Jun-2022,15556.65,38205.92,4.9,3.35,,,78.2662
,22-Jun-2022,15413.3,37850.29,4.9,3.35,4.9,2.5,78.2115
,21-Jun-2022,15638.8,38227.78,4.9,3.35,4.9,2.35,78.0861
,20-Jun-2022,15350.15,37648.33,4.9,3.35,4.8,2.3,77.996
,19-Jun-2022,wh,wh,wh,wh,wh,wh,wh
,18-Jun-2022,,,4.9,3.35,4.51,3.8,
,17-Jun-2022,15293.5,37766.25,4.9,3.35,4.8,3.75,78.0875
,16-Jun-2022,15360.6,37607.55,4.9,3.35,4.8,2.35,78.0864
